No,x座標,y座標,半径,t
6,52,96,27,0
5,28,58,28,0
3,50,42,29,0
4,36,156,18,1
9,52,158,14,1
52,52,92,18,1
123,50,14,8,1
91,66,164,12,2
139,58,102,12,2
125,64,144,8,2
217,52,18,12,2
157,80,156,17,3
216,76,146,22,3
174,80,122,15,3
256,76,58,17,3
260,42,166,15,4
300,34,98,17,4
377,34,14,12,4
336,80,134,9,5
347,40,162,12,5
419,34,124,16,5
482,42,18,17,5
423,48,162,22,6
483,52,74,14,6
546,48,24,24,6
507,84,112,18,7
559,64,40,29,7
603,90,148,7,7
665,86,58,19,7
668,78,76,26,7
562,64,82,29,7
613,78,120,14,7
567,80,28,24,7
620,44,164,20,8
674,54,110,16,8
682,54,82,17,8
716,42,42,7,8
754,62,16,8,8
689,58,160,15,9
715,64,146,22,9
771,76,166,17,9
