No,x,y,r
1,54,96,22
2,52,98,29
3,50,42,29
4,36,156,18
5,28,58,28
6,52,96,27
7,34,48,22
8,44,86,25
9,52,158,14
10,46,150,10
11,40,148,17
12,44,148,14
13,48,148,8
14,48,154,15
15,56,146,7
16,54,148,12
17,52,154,13
18,54,152,16
19,54,150,17
20,48,148,16
21,46,148,11
22,48,148,9
23,46,130,8
24,46,132,9
25,48,140,10
26,46,132,12
27,46,122,13
28,52,128,19
29,52,134,17
30,48,130,16
31,46,136,13
32,62,126,8
33,52,118,16
34,48,134,17
35,54,116,16
36,56,120,7
37,54,116,14
38,50,112,12
39,56,114,14
40,52,112,12
41,46,104,15
42,52,108,15
43,48,104,16
44,58,112,12
45,52,100,16
46,50,98,15
47,52,98,17
48,48,96,14
49,46,88,9
50,60,84,8
51,46,94,10
52,52,92,18
53,54,102,10
54,60,84,14
55,56,82,14
56,48,84,12
57,52,84,12
58,54,84,14
59,46,76,10
60,42,82,10
61,54,74,9
62,52,72,14
63,66,62,16
64,50,72,13
65,50,66,17
66,48,70,15
67,60,66,14
68,52,76,16
69,56,66,17
70,50,56,15
71,48,66,17
72,54,64,19
73,54,56,20
74,52,52,18
75,58,52,19
76,50,44,14
77,48,50,17
78,54,54,17
79,64,54,19
80,48,44,17
81,56,38,19
82,80,150,22
83,48,34,17
84,58,156,17
85,52,40,14
86,56,36,17
87,54,156,17
88,48,38,19
89,56,152,17
90,50,36,15
91,66,164,12
92,52,30,17
93,70,156,16
94,48,28,17
95,60,148,14
96,62,26,17
97,60,152,14
98,50,20,17
99,56,144,8
100,56,22,22
101,60,150,16
102,52,30,17
103,56,148,16
104,56,18,17
105,58,148,15
106,54,146,17
107,64,30,12
108,50,22,17
109,56,136,10
110,58,144,17
111,40,36,15
112,44,28,10
113,50,142,9
114,56,146,17
115,46,22,9
116,58,140,20
117,48,32,20
118,54,152,17
119,62,32,15
120,50,138,10
121,48,28,27
122,56,130,17
123,50,14,8
124,50,138,7
125,64,144,8
126,56,124,16
127,52,114,10
128,54,124,14
129,56,114,10
130,56,134,22
131,52,116,8
132,64,108,12
133,64,110,12
134,58,106,13
135,60,106,14
136,62,108,16
137,58,106,17
138,56,98,13
139,58,102,12
140,56,98,16
141,58,98,15
142,60,96,11
143,62,96,12
144,62,100,15
145,58,92,17
146,58,92,19
147,60,90,19
148,60,84,15
149,60,84,17
150,62,94,17
151,64,88,15
152,62,86,17
